編號	學校類型	主要領域	小方向標籤 (隨機指派)	跨領域興趣/亮點
01	頂大 (台大)	軟體	系統安全、AI 自動攻防	
法律輔系 (科技法律)  

02	中字輩 (中山)	軟體	巨量資料與資料探勘	
乙組桌球隊員  

03	頂大 (交大)	硬體	加解密硬體架構、量子計算	
管樂團 (長號)  

04	其他 (北科)	軟體	自然語言處理、語意理解	英語導覽志工
05	中字輩 (中央)	軟體	虛擬與擴增實境、人機互動	
鋼琴 6 級檢定  

06	頂大 (清大)	韌體	嵌入式系統、安全晶片設計	機器人社團教練
07	中字輩 (中正)	軟體	網路安全、區塊鏈技術	
熱舞社 (Poping)  

08	頂大 (成大)	硬體	電子設計自動化 (EDA)	登山與野外求生
09	其他 (台科)	韌體	即時作業系統、SoC 設計	數位插畫創作
10	中字輩 (中興)	跨域	生醫訊號處理、醫學影像分析	心理學雙主修
11	頂大 (台大)	軟體	分散式系統、雲端計算	
開源社群編輯組長  

12	中字輩 (中央)	軟體	影像處理、電腦視覺	
攝影師經歷  

13	頂大 (交大)	軟體	機器學習、智慧型計算	
財金領域專長  

14	其他 (元智)	軟體	軟體工程、程式語言	遊戲模組開發
15	中字輩 (中正)	硬體	計算機結構、硬體加速技術	辯論社成員
16	頂大 (清大)	軟體	資訊安全、加密技術	合唱團領唱
17	中字輩 (中山)	軟體	物聯網通訊、無線網路	
公民科技參與 (g0v)  

18	頂大 (成大)	軟體	巨量資料、高維度資料分析	統計建模競賽
19	其他 (淡江)	軟體	圖學、遊戲與數位學習	動漫評論自媒體
20	中字輩 (中興)	韌體	嵌入式系統、硬體特洛伊防護	圍棋初段
21	頂大 (台大)	軟體	人工智慧、機器學習、智慧型計算	國際志工 (非洲數位教育)
22	中字輩 (中興)	軟體	巨量資料與資料探勘、高維度資料分析	吉他社主唱
23	頂大 (交大)	硬體	加解密硬體架構、量子密碼與計算、通訊技術、密碼學	街頭塗鴉藝術家
24	其他 (北科)	軟體	自然語言處理、語意理解	天文社社長
25	中字輩 (中山)	韌體	嵌入式系統、安全晶片設計	校園廣播主持人
26	頂大 (清大)	軟體	資訊與網路安全、人工智慧安全	田徑隊 (跳高)
